Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1486.831	-1581.45	94.61924	0.04630217	0.5326922	0.377129	0.622871	5.572726
6	-1486.097	-1579.91	93.81245	0.02314608	0.5964193	0.377129	0.622871	5.974068
12	-1483.706	-1577.899	94.19301	0.4169121	0.4981133	0.459537	0.540463	5.633995
18	-1500.693	-1594.75	94.05731	0.2440342	0.6173795	0.633729	0.366271	5.702849
24	-1509.899	-1603.305	93.40617	0.002071076	0.6288087	0.485646	0.514354	6.181622
30	-1502.308	-1595.715	93.40667	0.001566491	0.6288087	0.43647	0.56353	6.181622
36	-1499.694	-1592.973	93.27825	0.004768461	0.4330561	0.40441	0.59559	6.419252
42	-1494.016	-1588.875	94.85914	0.003160926	0.5941069	0.485561	0.514439	5.413102
48	-1496.337	-1590.475	94.13763	0.01124535	0.5941069	0.442427	0.557573	5.804741
54	-1498.384	-1592.721	94.33697	0.01130933	0.5326632	0.424638	0.575362	5.746756
60	-1488.951	-1586.236	97.28584	0.5725048	0.5153323	0.45928	0.54072	3.798582
66	-1486.687	-1581.557	94.86993	0.50009	0.5247879	0.458466	0.541534	5.191319
72	-1495.121	-1589.012	93.89029	0.3533629	0.5899219	0.494429	0.505571	5.756226
78	-1485.412	-1580.033	94.62072	0.5390896	0.8229657	0.401493	0.598507	5.084702
84	-1485.288	-1578.405	93.11699	0.02580931	0.4909259	0.556796	0.443204	6.44043
90	-1495.507	-1590.15	94.64283	0.5555973	0.551273	0.581373	0.418627	5.263192
96	-1483.524	-1578.249	94.72404	0.9455323	0.5283203	0.429704	0.570296	5.022166
102	-1487.835	-1582.684	94.84887	0.7109847	0.6005231	0.488638	0.511362	5.022166
108	-1480.5	-1576.35	95.8503	0.7942734	0.737806	0.436259	0.563741	4.310996
114	-1481.347	-1577.147	95.79952	0.8450485	0.737806	0.476842	0.523158	4.310996
120	-1484.047	-1580.039	95.99197	0.9004518	0.4883911	0.38579	0.61421	4.374324
126	-1489.855	-1586.879	97.02439	0.8403818	0.8405319	0.449424	0.550576	3.541272
132	-1495.655	-1590.423	94.76858	0.6041792	0.5961603	0.414476	0.585524	5.129462
138	-1494.904	-1590.765	95.86108	0.6457438	0.6434481	0.414476	0.585524	4.458769
144	-1489.356	-1584.909	95.55298	0.8581113	0.4877566	0.54796	0.45204	4.645609
150	-1500.002	-1592.751	92.74864	0.5108111	0.7630969	0.454551	0.545449	6.166932
156	-1503.6	-1597.082	93.48184	0.3909202	0.6347224	0.323774	0.676226	5.923928
162	-1484.479	-1578.515	94.03529	0.3909202	0.7416229	0.471964	0.528036	5.543522
168	-1481.575	-1576.475	94.90031	0.5492512	0.6043832	0.471964	0.528036	5.080268
174	-1487.61	-1582.339	94.72903	0.8020771	0.4822482	0.499391	0.500609	5.140904
180	-1480.731	-1575.197	94.46653	0.6971519	0.7355178	0.433392	0.566608	5.140904
186	-1485.946	-1582.163	96.21703	0.7208198	0.4062097	0.447359	0.552641	4.431614
192	-1490.48	-1586.33	95.85038	0.7801117	0.5905126	0.384631	0.615369	4.431614
198	-1494.522	-1588.653	94.13109	0.5061109	0.5667823	0.447566	0.552434	5.559318
204	-1487.295	-1582.955	95.66046	0.6214404	0.5785149	0.447566	0.552434	4.637501
210	-1480.159	-1574.35	94.19164	0.6627963	0.601641	0.539161	0.460839	5.411384
216	-1485.169	-1577.806	92.63768	0.584072	0.4046801	0.520934	0.479066	6.481192
222	-1479.069	-1574.344	95.27494	0.5245454	0.4817498	0.509532	0.490468	4.992495
228	-1485.445	-1580.054	94.60942	0.5408483	0.4954749	0.509532	0.490468	5.339134
234	-1484.306	-1579.727	95.42049	0.3501389	0.4514824	0.526633	0.473367	5.037684
240	-1482.625	-1577.766	95.14075	0.6842123	0.4401709	0.375992	0.624008	5.018758
246	-1480.857	-1574.265	93.40809	0.5277605	0.3927526	0.422432	0.577568	6.105836
252	-1475.631	-1570.299	94.6681	0.5277605	0.6289108	0.47391	0.52609	5.201414
258	-1485.419	-1582.439	97.02049	0.6778926	0.4650418	0.354147	0.645853	3.938871
264	-1494.176	-1590.487	96.31102	0.5922557	0.6595767	0.467702	0.532298	4.222236
270	-1489.023	-1583.602	94.57843	0.5356772	0.3828524	0.374154	0.625846	5.471614
276	-1480.847	-1576.216	95.36879	0.4861269	0.5713359	0.528999	0.471001	4.88207
282	-1488.384	-1583.075	94.69106	0.3417883	0.5485398	0.575945	0.424055	5.356918
288	-1487.011	-1580.917	93.90585	0.6598527	0.5257361	0.349058	0.650942	5.633605
294	-1485.953	-1581.376	95.42298	0.738283	0.7195609	0.354748	0.645252	4.596211
300	-1484.052	-1581.044	96.99231	0.738283	0.5863242	0.424107	0.575893	3.808943
306	-1481.909	-1578.346	96.4369	0.7170082	0.4838987	0.441027	0.558973	4.230672
312	-1492.601	-1589.957	97.35586	0.9817369	0.4838987	0.415617	0.584383	3.551308
318	-1485.887	-1582.618	96.73129	0.9679668	0.7694463	0.375866	0.624134	3.685803
324	-1484.454	-1581.682	97.22769	1.011343	0.6142792	0.465677	0.534323	3.490802
330	-1488.789	-1586.43	97.64093	0.9173443	0.5697048	0.465677	0.534323	3.342138
336	-1481.097	-1577.297	96.19984	0.8287124	0.6346437	0.467986	0.532014	4.170619
342	-1487.387	-1583.435	96.04764	0.7493414	0.6717819	0.467986	0.532014	4.27314
348	-1489.083	-1583.979	94.89555	0.7493414	0.4880556	0.653372	0.346628	5.072403
354	-1496.757	-1592.553	95.79622	0.6138656	0.4904953	0.522036	0.477964	4.643594
360	-1492.565	-1587.456	94.89058	0.660717	0.4551351	0.44047	0.55953	5.155695
366	-1485.171	-1578.359	93.18836	0.5607904	0.7043475	0.542214	0.457786	5.94031
372	-1480.616	-1575.248	94.63287	0.6461381	0.6346874	0.500834	0.499166	5.150916
378	-1489.488	-1584.308	94.81963	0.5190427	0.5929812	0.371577	0.628423	5.150916
384	-1482.223	-1577.563	95.33992	0.6955346	0.5540495	0.565857	0.434143	4.796066
390	-1483.789	-1579.415	95.62589	0.5524505	0.5540495	0.41472	0.58528	4.716232
396	-1478.254	-1573.632	95.37765	0.5965915	0.5437013	0.504301	0.495699	4.839157
402	-1477.245	-1572.573	95.32786	0.5875996	0.4822221	0.418568	0.581432	4.927561
408	-1488.659	-1583.987	95.32736	0.5908818	0.6580773	0.438383	0.561617	4.777556
414	-1488.847	-1583.992	95.14534	0.4915053	0.717197	0.39017	0.60983	4.891012
420	-1487.422	-1583.536	96.11439	0.786095	0.5492495	0.515803	0.484197	4.314326
426	-1473.186	-1568.131	94.94582	0.5915732	0.4833548	0.459204	0.540796	5.136387
432	-1483.812	-1578.522	94.71016	0.5534627	0.6162242	0.477578	0.522422	5.173857
438	-1495.552	-1591.374	95.82178	0.7190584	0.5890293	0.477578	0.522422	4.483337
444	-1483.532	-1578.429	94.8965	0.7022781	0.6755521	0.477578	0.522422	4.942482
450	-1483.905	-1579.021	95.11622	0.7022781	0.5248351	0.399149	0.600851	4.942482
456	-1486.159	-1582.625	96.46587	0.7098024	0.4138134	0.496808	0.503192	4.289162
462	-1485.934	-1580.22	94.28601	0.5266102	0.4751443	0.398765	0.601235	5.543944
468	-1483.887	-1578.422	94.53473	0.6703948	0.6420578	0.435128	0.564872	5.186139
474	-1485.167	-1580.516	95.34895	0.4795079	0.4731842	0.520096	0.479904	4.984521
480	-1483.586	-1577.971	94.38445	0.505584	0.558996	0.503527	0.496473	5.426755
486	-1493.806	-1589.076	95.26974	0.5733586	0.5351376	0.478136	0.521864	4.919699
492	-1492.918	-1589.357	96.43824	0.5751714	0.4468157	0.553546	0.446454	4.346681
498	-1483.94	-1578.761	94.82128	0.5751714	0.364481	0.511342	0.488658	5.336468
504	-1487.975	-1583.264	95.28888	0.4366081	0.6181523	0.511342	0.488658	4.915989
510	-1483.395	-1580.112	96.71693	0.6713216	0.6264745	0.511342	0.488658	3.972119
516	-1486.992	-1583.564	96.57231	0.9131132	0.5602053	0.468614	0.531386	3.972119
522	-1481.916	-1577.055	95.13932	0.6669362	0.5310836	0.454094	0.545906	4.943763
528	-1484.551	-1579.451	94.90035	0.6713312	0.5310836	0.503785	0.496215	5.074055
534	-1478.573	-1574.395	95.82182	0.5646409	0.5656798	0.429335	0.570665	4.58969
540	-1485.56	-1581.874	96.3139	0.7650822	0.4949029	0.452495	0.547505	4.262673
546	-1515.655	-1611.035	95.37924	0.5126417	0.4949029	0.442655	0.557345	4.92882
552	-1494.577	-1589.093	94.51561	0.6036044	0.5680439	0.494001	0.505999	5.292794
558	-1491.532	-1586.129	94.59685	0.49588	0.5857573	0.494001	0.505999	5.292794
564	-1489.706	-1584.099	94.39245	0.519663	0.6088121	0.34203	0.65797	5.373893
570	-1495.305	-1589.185	93.87977	0.4795326	0.398022	0.507963	0.492037	5.869232
576	-1491.976	-1585.586	93.60952	0.5703274	0.8363041	0.58889	0.41111	5.61678
582	-1485.093	-1579.23	94.13701	0.6304722	0.6171643	0.511495	0.488505	5.446983
588	-1481.905	-1577.522	95.61669	0.7065039	0.6219721	0.511495	0.488505	4.57891
600	-1497.498	-1591.465	93.96734	0.4965399	0.5839144	0.578301	0.421699	5.640386
606	-1496.834	-1589.539	92.70426	0.5572426	0.5521519	0.499038	0.500962	6.32268
804	-1491.579	-1589.049	97.4703	1.278438	0.9127544	0.467174	0.532826	2.971775
810	-1485.961	-1584.575	98.61386	1.278438	0.4782202	0.362839	0.637161	2.62829
816	-1497.34	-1596.8	99.45978	1.223967	0.459027	0.392271	0.607729	2.148347
822	-1486.758	-1585.091	98.33365	1.112366	0.3722908	0.535323	0.464677	3.018896
828	-1495.134	-1591.203	96.06865	0.7605321	0.7378266	0.574394	0.425606	4.206399
834	-1485.252	-1580.084	94.83195	0.5992795	0.5391377	0.417147	0.582853	5.144861
1140	-1480.226	-1575.19	94.96387	0.6511989	0.4137241	0.417329	0.582671	5.162181
1146	-1486.608	-1582.247	95.63875	0.8332251	0.3854304	0.418321	0.581679	4.715797
1152	-1479.157	-1574.422	95.26545	0.6716542	0.5346802	0.532976	0.467024	4.867747
1158	-1482.009	-1577.819	95.80998	0.9064249	0.7847465	0.484789	0.515211	4.23778
1164	-1474.086	-1569.166	95.07983	0.619621	0.492209	0.467014	0.532986	5.038268
1170	-1480.778	-1575.392	94.61467	0.6875885	0.5684146	0.58606	0.41394	5.191312
1176	-1485.367	-1580.445	95.07725	0.7683146	0.4812396	0.545177	0.454823	4.967362
1182	-1485.716	-1581.816	96.09981	0.5995285	0.5197237	0.568321	0.431679	4.454149
1188	-1481.062	-1577.067	96.00512	0.6876326	0.538603	0.524322	0.475678	4.440958
1194	-1487.958	-1584.354	96.39576	0.8726567	0.5676647	0.501606	0.498394	4.089516
1200	-1479.404	-1574.587	95.18271	0.5662749	0.6530836	0.408669	0.591331	4.875766
1206	-1480.205	-1574.925	94.72081	0.5056811	0.524392	0.39304	0.60696	5.271021
1260	-1492.85	-1586.52	93.67006	0.5068352	0.7301137	0.463691	0.536309	5.688291
1266	-1494.204	-1587.972	93.76815	0.638776	0.579918	0.475133	0.524867	5.674878
1290	-1496.778	-1591.723	94.94526	0.517068	0.6655261	0.580716	0.419284	5.025795
1296	-1492.283	-1586.961	94.67828	0.621942	0.5933933	0.528755	0.471245	5.171868
1302	-1492.293	-1586.653	94.36058	0.4973658	0.5044194	0.441409	0.558591	5.492016
1308	-1496.41	-1590.767	94.35741	0.381019	0.5809051	0.503961	0.496039	5.492016
1314	-1493.914	-1588.154	94.23998	0.2604292	0.5809051	0.369941	0.630059	5.622793
1320	-1497.456	-1591.75	94.29374	0.6565152	0.5651371	0.485197	0.514803	5.388426
1326	-1491.615	-1586.006	94.39145	0.6645071	0.5651371	0.598402	0.401598	5.330138
1332	-1489.829	-1584.079	94.25016	0.4513686	0.6279203	0.526744	0.473256	5.4749
1338	-1496.194	-1592.004	95.81069	0.6334463	0.4234169	0.507537	0.492463	4.690699
1344	-1491.284	-1585.298	94.01449	0.670939	0.6060685	0.507537	0.492463	5.50089
1350	-1492.218	-1586.524	94.30582	0.6963999	0.5720786	0.449413	0.550587	5.353998
1356	-1483.298	-1578.641	95.34291	0.4598497	0.7159617	0.485044	0.514956	4.799389
1524	-1494.942	-1591.037	96.09506	0.9451058	0.7013345	0.379342	0.620658	4.112943
1554	-1493.359	-1588.448	95.08874	0.7788744	0.6480416	0.38329	0.61671	4.813482
1560	-1483.811	-1578.485	94.67393	0.6520417	0.4050587	0.409313	0.590687	5.331045
1566	-1478.583	-1573.503	94.91923	0.7370289	0.7426886	0.439444	0.560556	4.862272
1572	-1473.385	-1567.898	94.5126	0.7775693	0.6915962	0.439444	0.560556	5.102052
1578	-1475.613	-1570.327	94.71366	0.7236189	0.628139	0.448958	0.551042	5.068282
1584	-1479.463	-1573.293	93.83037	0.6226509	0.7093796	0.448958	0.551042	5.551254
1590	-1485.437	-1579.735	94.2981	0.6115703	0.45917	0.493361	0.506639	5.505811
1596	-1487.44	-1583.456	96.01616	0.7411359	0.5644214	0.56617	0.43383	4.382087
1602	-1488.738	-1584.865	96.12739	0.7221073	0.5059629	0.487768	0.512232	4.382087
1608	-1486.581	-1582.266	95.68527	0.7221073	0.4043782	0.348268	0.651732	4.731322
1614	-1491.291	-1585.801	94.51008	0.7221073	0.6111641	0.436673	0.563327	5.195258
1620	-1494.36	-1590.498	96.13774	0.8487769	0.4014147	0.566203	0.433797	4.409354
1626	-1495.926	-1590.25	94.32417	0.8081758	0.6704195	0.558685	0.441315	5.205007
1632	-1496.495	-1590.168	93.67275	0.5359339	0.5104102	0.460218	0.539782	5.842692
1638	-1505.227	-1598.923	93.69524	0.8275421	0.6770245	0.383612	0.616388	5.536218
1644	-1494.803	-1589.017	94.21461	0.8275421	0.6550136	0.449247	0.550753	5.2664
1794	-1496.116	-1591.007	94.89068	0.605549	0.5735706	0.421325	0.578675	5.079564
1884	-1486.949	-1581.847	94.89816	0.5412148	0.6132901	0.482862	0.517138	5.078806
1890	-1485.802	-1580.463	94.66071	0.5678325	0.5329049	0.482862	0.517138	5.262408
1896	-1483.828	-1577.811	93.98289	0.6160139	0.4119919	0.416791	0.583209	5.723511
1902	-1474.728	-1569.556	94.82831	0.6145314	0.5529835	0.45832	0.54168	5.12651
1908	-1485.121	-1579.939	94.8172	0.5810822	0.5083744	0.45832	0.54168	5.190359
1914	-1478.754	-1574.72	95.96622	0.6227709	0.5306323	0.426746	0.573254	4.506444
1920	-1488.72	-1582.826	94.10634	0.7222665	0.897899	0.419097	0.580903	5.221667
1926	-1494.481	-1589.217	94.73605	0.7794089	0.6325511	0.389294	0.610706	5.021459
1932	-1479.834	-1575.384	95.54989	0.7794089	0.5125267	0.517086	0.482914	4.668483
1938	-1488.866	-1583.464	94.59796	0.5483242	0.6206872	0.507236	0.492764	5.23525
1944	-1496.971	-1591.121	94.15008	0.7243786	0.7237841	0.440652	0.559348	5.309012
1950	-1483.485	-1579.912	96.42726	0.7243786	0.6315584	0.440652	0.559348	4.103071
1956	-1485.454	-1582.178	96.7235	0.7275288	0.7454324	0.605403	0.394597	3.845935
1962	-1479.256	-1576.13	96.87412	0.8324332	0.5595199	0.543448	0.456552	3.845935
1968	-1484.47	-1579.108	94.6372	0.6441209	0.7839731	0.574848	0.425152	5.042743
1974	-1486.872	-1581.685	94.81237	0.6268042	0.6600753	0.383089	0.616911	5.042743
1980	-1488.081	-1584.191	96.11014	0.7702754	0.6442343	0.383459	0.616541	4.247112
1986	-1484.014	-1579.163	95.14863	0.8071777	0.6173995	0.535504	0.464496	4.788195
2004	-1493.042	-1587.495	94.45234	0.4089866	0.6453615	0.528871	0.471129	5.373502
2010	-1486.051	-1580.637	94.58547	0.39426	0.5635546	0.476968	0.523032	5.373502
2016	-1491.914	-1588.059	96.14425	0.4926925	0.4278939	0.422608	0.577392	4.578001
2034	-1495.776	-1590.946	95.17065	0.7636719	0.657609	0.616121	0.383879	4.768929
2040	-1488.358	-1584.959	96.60047	0.9415891	0.6762478	0.516101	0.483899	3.844803
2046	-1482.385	-1578.569	96.18375	0.9415891	0.8905374	0.561177	0.438823	3.935974
2052	-1472.689	-1570.208	97.51875	0.9228525	0.7080503	0.411826	0.588174	3.297373
2058	-1484.817	-1581.613	96.79681	1.119126	0.7080503	0.411826	0.588174	3.604771
2064	-1476.139	-1574.024	97.88534	1.104166	0.4277473	0.411826	0.588174	3.227001
2070	-1481.343	-1576.334	94.99025	0.7526839	0.832299	0.500886	0.499114	4.754157
2076	-1481.597	-1578.206	96.60895	0.7391996	0.5882244	0.411496	0.588504	4.026542
2082	-1481.234	-1578.324	97.09018	0.8092879	0.648987	0.411496	0.588504	3.659915
2088	-1488.449	-1584.771	96.32157	0.6989785	0.6185333	0.411496	0.588504	4.188061
