Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-1488.709	-1582.787	94.07754	0.0267886	0.0157608	0.00821009	0.0606641	0.0361028	0.0467318	0.0423879	0.143087	0.106351	0.158039	0.646382	0.0939589	0.205622	0.0525398	0.0566078	0.513254	0.291537	0.350018	0.00169363	0.0326206	0.00801163	0.00938348	0.00558493	0.0205346	0.0584098	0.044352	0.0197551	0.0184463	0.000540081	0.00956051	0.0298027	0.0770752	0.108189	0.177335	0.215325	0.0380048	0.0185353	0.0575941	0.278745	0.0222457	0.0584781	0.0391755	0.123442	0.0283451	0.00156298	0.031684	0.0640166	0.0312214	0.0708158	0.0646813	0.204273	0.215097	0.0176403	0.0187364	0.0206773	0.0266441	0.0357751	0.00550108	0.00607458	0.0881151	0.0204211	0.0524466	0.0205744	0.0288901	0.167487	0.858566	1.09687	0.41935	0.65453	0.87614	1.14137	1.52781	2.38464	0.6283822	0.5361232	0.0048289	0.00284103	0.00147994	0.0109353	0.00650787	0.00842383	0.00764081	0.0257928	0.0191707	0.0284881	0.116516	0.016937	0.0370653	0.00947079	0.0102041	0.0925189	0.0525522	0.0630939	0.000305292	0.00588016	0.00144417	0.00169146	0.00100673	0.00370154	0.0105289	0.00799486	0.00356105	0.00332513	9.73547e-05	0.00172337	0.00537222	0.0138935	0.019502	0.0319662	0.0388144	0.00685071	0.00334115	0.0103819	0.0502464	0.00400999	0.0105412	0.00706175	0.0222516	0.00510947	0.000281742	0.00571133	0.0115396	0.00562794	0.0127652	0.0116594	0.0368221	0.0387733	0.00317983	0.00337741	0.00372728	0.00480284	0.0064488	0.000991622	0.001095	0.0158836	0.00368109	0.009454	0.00370873	0.00520771	0.0301912	0.384081	0.615919	0.3840805	5.547564
36	-1477.319	-1572.704	95.38517	0.0185737	0.0198328	0.0222937	0.0514833	0.0345016	0.0461696	0.0479246	0.0607542	0.0378411	0.139657	0.656017	0.0857315	0.0226238	0.0252976	0.219658	0.184246	0.1466	0.387154	0.00696325	0.0261706	0.00226169	0.0167394	0.00322306	0.00948487	0.012235	0.0532819	0.0278937	0.00953176	0.0205572	0.0274429	0.0363468	0.0466041	0.0742615	0.126022	0.158153	0.164802	0.0392308	0.0192055	0.163428	0.04083	0.0751676	0.051213	0.14028	0.0858845	0.0205396	0.00892831	0.104677	0.0108047	0.0844532	0.0464035	0.180513	0.190079	0.130034	0.00810183	0.0208813	0.0048703	0.0399057	0.00239687	0.0548007	0.140845	0.00799993	0.0358771	0.0230444	0.0118077	0.0252463	0.742159	1.1766	0.306483	0.561719	0.835323	1.19714	1.78025	3.26282	0.8550951	0.4320299	0.00387293	0.00413547	0.0046486	0.0107351	0.00719415	0.00962713	0.00999307	0.0126683	0.00789049	0.0291208	0.13679	0.0178764	0.00471743	0.00527497	0.0458023	0.0384184	0.0305686	0.080728	0.00145195	0.005457	0.0004716	0.00349045	0.000672062	0.00197775	0.00255121	0.0111102	0.0058163	0.00198753	0.00428651	0.00572229	0.00757891	0.00971773	0.0154847	0.0262777	0.0329774	0.0343638	0.00818026	0.00400467	0.0340775	0.00851372	0.0156737	0.0106787	0.0292507	0.0179083	0.00428283	0.0018617	0.0218269	0.00225297	0.0176099	0.00967589	0.03764	0.0396345	0.0271143	0.00168936	0.00435409	0.00101554	0.00832099	0.000499787	0.0114269	0.0293685	0.00166812	0.00748097	0.00480515	0.0024621	0.00526427	0.4324	0.5676	0.4324004	4.795784
72	-1492.6	-1589.056	96.45653	0.00119832	0.023341	0.00527834	0.0290845	0.0304276	0.00849063	0.0379306	0.0991451	0.0287632	0.0534495	0.216832	0.0533671	0.127762	0.1432	0.218792	0.259151	0.122603	0.374432	0.00760703	0.00994094	0.00322411	0.019508	0.0208772	0.000284358	0.00609132	0.0178041	0.0328265	0.00942967	0.0336981	0.00612875	0.041757	0.0462249	0.0802943	0.122854	0.249428	0.116817	0.0193927	0.0155383	0.0930724	0.0434256	0.113889	0.0466157	0.0987501	0.0324014	0.0155089	0.0121524	0.076971	0.0280079	0.0671003	0.0813032	0.0658649	0.164919	0.0594952	0.0339988	0.0105131	0.0293954	0.0306956	0.0201702	0.0142157	0.0517775	0.0257609	0.0329078	0.107035	0.0148033	0.0159788	0.919659	1.05503	0.337461	0.588726	0.847651	1.17973	1.69858	2.96331	0.785474	0.5970492	0.000293728	0.00572125	0.0012938	0.00712906	0.00745828	0.00208119	0.0092974	0.024302	0.00705032	0.0131013	0.0531489	0.0130811	0.0313165	0.0351007	0.0536295	0.063522	0.0300521	0.0917792	0.0018646	0.00243668	0.000790281	0.00478172	0.00511733	6.97005e-05	0.00149308	0.00436406	0.00804629	0.00231136	0.00825993	0.00150225	0.0102353	0.0113305	0.0196814	0.0301135	0.0611387	0.0286336	0.00475346	0.00380869	0.0228135	0.0106443	0.0279159	0.0114263	0.0242052	0.0079421	0.00380147	0.00297874	0.0188668	0.00686518	0.0164473	0.0199287	0.0161445	0.0404242	0.0145832	0.00833363	0.00257694	0.00720528	0.00752397	0.00494403	0.00348449	0.0126915	0.00631441	0.00806621	0.026236	0.00362851	0.00391666	0.389885	0.610115	0.3898851	4.079704
108	-1502.669	-1597.708	95.03957	0.0150533	0.0432575	0.012829	0.0358068	0.0703626	0.0145713	0.0507882	0.0245518	0.111097	0.0578322	0.286899	0.101216	0.0895996	0.0266896	0.121165	0.50806	0.170441	0.258682	0.0125398	0.0127109	0.00542118	0.0164971	0.0376944	0.00101557	0.0890787	0.0532617	0.0815608	0.00620225	0.0234987	0.00508116	0.0463068	0.0577918	0.121947	0.157086	0.312448	0.0281012	0.0657197	0.00630994	0.196652	0.0889279	0.0590394	0.0532492	0.118722	0.0983168	0.0111339	0.00841213	0.055913	0.0133851	0.044183	0.2996	0.0754967	0.236994	0.0891521	0.0449771	0.00367237	0.0423333	0.0132169	0.00368061	0.0155888	0.0421326	0.0124425	0.0273844	0.0673892	0.010571	0.0112424	0.944774	1.03783	0.360571	0.608056	0.856238	1.1679	1.64459	2.77338	0.7375773	0.6235201	0.0030828	0.00885883	0.00262729	0.00733298	0.0144097	0.0029841	0.0104011	0.00502803	0.022752	0.0118436	0.0587549	0.0207283	0.0183493	0.00546584	0.0248138	0.104047	0.034905	0.0529761	0.00256807	0.00260309	0.00111022	0.00337848	0.00771954	0.000207981	0.0182427	0.0109076	0.0167031	0.00127018	0.00481237	0.00104058	0.0094833	0.0118353	0.0249739	0.0321701	0.0639872	0.00575492	0.0134589	0.00129223	0.0402729	0.0182118	0.0120908	0.0109051	0.0243134	0.0201346	0.00228015	0.00172274	0.0114506	0.00274118	0.00904837	0.0613559	0.0154612	0.0485347	0.0182577	0.00921098	0.000752075	0.00866955	0.00270673	0.000753762	0.00319248	0.00862845	0.00254813	0.00560813	0.0138008	0.00216486	0.00230236	0.404825	0.595175	0.404825	4.882985
144	-1490.412	-1585.396	94.98426	0.00269869	0.0180404	0.0217183	0.0663028	0.037555	0.0222741	0.0470014	0.115849	0.0549068	0.111829	0.515583	0.101561	0.0141839	0.0438197	0.0777131	0.181686	0.0460141	0.336771	0.0122817	0.0525666	0.0243759	0.00745806	0.00796564	0.00432625	0.0152992	0.0713036	0.0119563	0.0086129	0.0463048	0.0470032	0.0192344	0.0528788	0.0941436	0.170369	0.101588	0.16371	0.0980008	0.182921	0.0633729	0.0151836	0.00531984	0.10108	0.0444847	0.0340275	0.0263112	0.0012896	0.143537	0.156647	0.0480126	0.179314	0.0719473	0.055015	0.0523385	0.181035	0.15983	0.224607	0.0369892	0.0395278	0.125276	0.0103932	0.0436265	0.011937	0.221307	0.00688033	0.00970289	0.820843	1.12271	0.417534	0.653146	0.875561	1.14212	1.53105	2.39502	0.6315211	0.5007717	0.000531573	0.0035535	0.00427795	0.01306	0.00739739	0.00438744	0.00925808	0.0228192	0.0108152	0.0220275	0.101557	0.0200048	0.00279386	0.00863137	0.0153075	0.0357875	0.00906361	0.0663354	0.00241918	0.0103543	0.00480143	0.00146905	0.00156903	0.000852161	0.00301355	0.014045	0.00235508	0.00169652	0.00912087	0.00925843	0.00378869	0.0104158	0.0185439	0.0335583	0.0200102	0.0322467	0.0193037	0.0360308	0.0124828	0.00299077	0.00104787	0.0199101	0.00876236	0.00670255	0.00518263	0.000254018	0.0282732	0.0308555	0.00945726	0.0353202	0.0141718	0.0108366	0.0103094	0.0356592	0.0314824	0.0442419	0.00728593	0.00778597	0.0246762	0.00204719	0.0085933	0.00235129	0.0435918	0.00135525	0.00191122	0.581487	0.418513	0.5814875	5.076799
180	-1481.921	-1575.816	93.89475	0.00318121	0.0287135	0.0236229	0.0313593	0.069196	0.00103393	0.0557558	0.0427853	0.139945	0.075592	0.643107	0.0511094	0.0579661	0.0905809	0.0426327	0.221254	0.0337777	0.466359	0.0061475	0.0776547	0.0184636	0.0099526	0.0275542	0.0227312	0.00151564	0.0467246	0.0576164	0.0282602	0.0264886	0.0208841	0.0307316	0.0480088	0.0798454	0.279125	0.0263102	0.0656616	0.134496	0.0715113	0.0755503	0.0515786	0.0140516	0.0472961	0.000398006	0.00461141	0.00188068	0.00216229	0.332934	0.0346975	0.0808048	0.306487	0.110644	0.0215387	0.0221886	0.184365	0.0792608	0.250462	0.0718297	0.0386788	0.181618	0.00298322	0.0948189	0.0212309	0.211887	0.0696751	0.0599077	0.976048	1.01641	0.39966	0.639357	0.869752	1.14975	1.56407	2.50213	0.6631571	0.6577355	0.000575139	0.0051912	0.00427085	0.00566954	0.0125101	0.000186926	0.0100802	0.00773527	0.025301	0.0136665	0.116269	0.00924022	0.0104798	0.0163764	0.00770768	0.0400012	0.00610676	0.0843144	0.00111142	0.0140394	0.00333808	0.00179936	0.00498159	0.00410963	0.000274017	0.00844747	0.0104166	0.00510924	0.00478894	0.00377569	0.00555604	0.00867965	0.0144355	0.0504638	0.0047567	0.0118711	0.0243159	0.0129287	0.0136589	0.00932504	0.00254043	0.0085508	7.19567e-05	0.000833709	0.000340013	0.000390926	0.0601921	0.00627306	0.0146089	0.0554106	0.0200037	0.00389403	0.00401153	0.0333318	0.0143298	0.0452817	0.0129863	0.00699285	0.0328352	0.000539344	0.0171426	0.00383839	0.0383076	0.0125968	0.0108309	0.436892	0.563108	0.4368921	5.531196
216	-1480.652	-1577.088	96.43569	0.0298666	0.0265604	0.00623279	0.090936	0.0490966	0.00907027	0.0436624	0.0280622	0.0178854	0.0229286	0.419915	0.12725	0.0528294	0.0852738	0.0232784	0.235576	0.0315661	0.38941	0.00183096	0.0923016	0.00178624	0.0206116	0.0184527	0.0236234	0.000247545	0.0296446	0.0287519	0.00560564	0.00578535	0.0066374	0.0464818	0.0356873	0.145372	0.205641	0.0116394	0.058808	0.0805548	0.0807973	0.0683282	0.020502	0.00706804	0.0207709	0.00499521	0.017742	0.0357037	0.0192891	0.225527	0.0479752	0.0404282	0.144002	0.0684273	0.0115625	0.0277338	0.128034	0.0886787	0.182934	0.01336	0.0131843	0.118875	0.00267111	0.0680072	0.0191894	0.105103	0.00299996	0.0181572	0.856323	1.09841	0.309839	0.56471	0.836708	1.19516	1.77082	3.22749	0.8472222	0.5339747	0.00726521	0.00646096	0.00151616	0.0221207	0.011943	0.00220639	0.0106211	0.00682627	0.00435071	0.00557751	0.102147	0.0309542	0.012851	0.0207433	0.0056626	0.0573051	0.00767862	0.0947259	0.00044539	0.0224529	0.000434512	0.00501387	0.00448871	0.00574652	6.02167e-05	0.00721119	0.00699405	0.0013636	0.00140732	0.00161458	0.0113069	0.00868112	0.0353625	0.0500232	0.00283136	0.0143053	0.0195954	0.0196544	0.0166212	0.00498723	0.00171934	0.00505262	0.00121511	0.00431583	0.00868512	0.00469218	0.0548606	0.0116702	0.00983436	0.0350292	0.0166453	0.00281264	0.0067464	0.0311449	0.0215716	0.0444996	0.00324988	0.00320716	0.0289169	0.00064976	0.0165431	0.00466793	0.0255669	0.000729757	0.00441684	0.537164	0.462836	0.5371638	4.110908
252	-1482.111	-1576.418	94.3071	0.00140151	0.020162	0.0264349	0.0922065	0.0169823	0.00297212	0.0312028	0.0139609	0.0527587	0.08007	0.484981	0.0427986	0.145738	0.0441266	0.124442	0.185653	0.0641315	0.406643	0.00143437	0.0830255	0.00160248	0.00139511	0.0112201	0.00283249	8.96973e-06	0.0965154	0.0145836	0.0311147	0.0012037	0.0594323	0.0636676	0.0323227	0.220809	0.256867	0.0655581	0.211631	0.138639	0.173639	0.0619491	0.0530715	0.0156487	0.0149672	0.00213305	0.0238224	0.0268722	0.0724623	0.160906	0.0546038	0.0606748	0.15874	0.0205823	0.0245522	0.0129991	0.23009	0.0921848	0.25057	0.0537176	0.0264331	0.100929	0.00733393	0.0923845	0.0178006	0.161908	0.0013185	0.0808876	1.0735	0.949655	0.363592	0.610535	0.857325	1.16642	1.63791	2.75034	0.7315455	0.774256	0.000270369	0.00388949	0.00509961	0.0177878	0.00327608	0.000573357	0.00601939	0.00269323	0.0101778	0.0154465	0.0935586	0.00825637	0.0281146	0.00851255	0.0240064	0.0358147	0.0123717	0.0784464	0.000276707	0.0160166	0.000309139	0.000269133	0.00216449	0.000546421	1.73037e-06	0.018619	0.00281335	0.0060024	0.000232208	0.0114652	0.0122822	0.00623544	0.0425967	0.0495527	0.012647	0.0408262	0.0267451	0.0334971	0.0119507	0.0102381	0.00301882	0.00288735	0.000411491	0.00459563	0.00518397	0.0139788	0.0310407	0.0105337	0.0117049	0.0306228	0.00397057	0.00473641	0.00250769	0.0443872	0.0177836	0.048338	0.0103628	0.00509927	0.0194704	0.0014148	0.0178221	0.00343394	0.031234	0.000254355	0.0156042	0.568579	0.431421	0.5685786	5.183709
288	-1487.219	-1580.298	93.07893	0.00633495	0.0440332	0.017857	0.0307347	0.0565676	0.0370147	0.0601073	0.0668174	0.171404	0.138146	0.682491	0.0119485	0.187897	0.00475625	0.0961619	0.473241	0.0138764	0.383508	0.0437443	0.177245	0.0225703	0.00157153	0.007019	0.00516876	3.57115e-05	0.0431962	0.0512472	0.0307687	0.00293666	0.00163782	0.0448779	0.0354597	0.138865	0.301647	0.0774506	0.245818	0.119553	0.118199	0.0540119	0.0852185	0.0488054	0.0272206	0.00132612	0.0218238	0.0847871	0.0252075	0.0396155	0.149039	0.0308114	0.159643	0.0166758	0.00507453	0.015439	0.267625	0.145133	0.329534	0.0212966	0.00437224	0.126762	0.0149564	0.093381	0.0437824	0.210619	0.0237997	0.0544139	0.900806	1.06794	0.412195	0.649059	0.873849	1.14436	1.54069	2.42604	0.6408269	0.5777387	0.0010467	0.00727546	0.00295045	0.0050782	0.00934649	0.00611582	0.00993134	0.01104	0.0283205	0.0228255	0.112766	0.00197422	0.0310456	0.000785861	0.0158885	0.0781921	0.00229275	0.0633659	0.00722773	0.0292857	0.00372923	0.00025966	0.00115973	0.000854019	5.90051e-06	0.00713718	0.00846741	0.00508382	0.000485214	0.000270612	0.00741504	0.0058589	0.0229442	0.0498403	0.0127969	0.0406157	0.0197534	0.0195296	0.00892421	0.0140804	0.00806397	0.00449757	0.000219111	0.00360588	0.0140091	0.00416496	0.00654554	0.0246252	0.00509087	0.0263774	0.0027553	0.00083845	0.00255094	0.0442189	0.0239799	0.0544478	0.00351878	0.000722411	0.0209445	0.0024712	0.0154291	0.00723403	0.0347999	0.00393235	0.00899065	0.493838	0.506162	0.4938383	6.052283
324	-1484.611	-1580.013	95.40183	0.0176398	0.0343589	0.00672485	0.0499871	0.066629	0.0335842	0.0231225	0.0717589	0.127015	0.113955	0.296733	0.0567705	0.193554	0.045559	0.321547	0.192743	0.215344	0.333905	0.00218154	0.0225642	0.0116716	0.0106324	0.00675141	0.00536728	0.0185969	0.0637461	0.0651843	0.017601	0.0222401	0.030105	0.0385922	0.0678359	0.0958074	0.159948	0.155875	0.24941	0.0611257	0.11056	0.108622	0.0267847	0.07282	0.0216836	0.0735735	0.155437	0.00943795	0.0161521	0.0581016	0.028883	0.0153802	0.184292	0.0104435	0.00140125	0.00930193	0.163776	0.037056	0.000461715	0.00880665	0.0289799	0.015358	0.0662198	0.00861517	0.0460287	0.0247067	0.0118197	0.0627484	0.999726	1.00019	0.407653	0.645562	0.872377	1.14629	1.54904	2.45307	0.6488377	0.6846155	0.00376628	0.00733598	0.00143582	0.0106727	0.014226	0.00717058	0.00493688	0.0153212	0.027119	0.0243305	0.0633556	0.0121211	0.0413258	0.0097273	0.0686535	0.0411525	0.0459781	0.0712921	0.000465782	0.00481768	0.00249201	0.00227012	0.00144149	0.00114597	0.00397064	0.0136104	0.0139175	0.00375799	0.00474849	0.00642772	0.00823984	0.0144836	0.0204558	0.0341505	0.033281	0.0532516	0.013051	0.0236057	0.0231919	0.00571881	0.0155478	0.00462967	0.0157087	0.0331874	0.0020151	0.00344863	0.0124053	0.0061668	0.00328382	0.0393483	0.00222979	0.000299181	0.00198606	0.0349679	0.00791183	9.85809e-05	0.00188031	0.00618751	0.0032791	0.0141386	0.00183943	0.00982758	0.00527513	0.00252363	0.0133974	0.356663	0.643337	0.3566626	4.683619
